,English,English_cleaned,Spanish,French,German
0,tom never gave in to temptation,tom never gave in to temptation,tom nunca cedió a la tentación,Tom n'a jamais cédé à la tentation,Tom gab der Versuchung nie nach
1,tom noticed several differences,tom noticed several differences,tom notó varias diferencias,Tom a remarqué plusieurs différences,Tom bemerkte mehrere Unterschiede
2,tom often cries when he's drunk,tom often cries when he is drunk,tom a menudo llora cuando esta borracho,tom pleure souvent quand il est ivre,"Tom weint oft, wenn er betrunken ist"
3,tom only listens to heavy metal,tom only listens to heavy metal,tom solo escucha heavy metal,tom n'écoute que du heavy metal,Tom hört nur Heavy Metal
4,tom opened the left-hand drawer,tom opened the left hand drawer,tom abrió el cajón de la izquierda,tom a ouvert le tiroir de gauche,Tom öffnete die linke Schublade
5,tom opened the trunk of the car,tom opened the trunk of the car,tom abrió la cajuela del auto,tom a ouvert le coffre de la voiture,Tom öffnete den Kofferraum des Autos
6,tom ought to talk to his lawyer,tom ought to talk to his lawyer,tom debería hablar con su abogado,Tom devrait parler à son avocat,Tom sollte mit seinem Anwalt sprechen
7,tom played a joke on his friend,tom played a joke on his friend,tom le hizo una broma a su amigo,Tom a fait une blague à son ami,Tom spielte seinem Freund einen Streich
8,tom pointed out mary's mistakes,tom pointed out mary s mistakes,tom señaló los errores de mary,tom a souligné les erreurs de mary,Tom wies auf Marys Fehler hin
9,tom poured mary a cup of coffee,tom poured mary a cup of coffee,tom le sirvió a mary una taza de café,tom a versé une tasse de café à mary,Tom schenkte Mary eine Tasse Kaffee ein
10,tom prefers whole-grain cereals,tom prefers whole grain cereals,tom prefiere los cereales integrales,tom préfère les céréales complètes,Tom bevorzugt Vollkorngetreide
11,tom pressed the elevator button,tom pressed the elevator button,tom presionó el botón del ascensor,Tom a appuyé sur le bouton de l'ascenseur,Tom drückte auf den Fahrstuhlknopf
12,tom pressed the intercom button,tom pressed the intercom button,tom presionó el botón del intercomunicador,Tom a appuyé sur le bouton de l'interphone,Tom drückte auf die Gegensprechanlage
13,tom promised to take me fishing,tom promised to take me fishing,tom prometió llevarme a pescar,Tom a promis de m'emmener pêcher,"Tom hat versprochen, mich zum Angeln mitzunehmen"
14,tom punched john in the stomach,tom punched john in the stomach,tom le dio un puñetazo a john en el estomago,tom a donné un coup de poing à john dans le ventre,Tom schlug John in den Bauch
15,tom pushed mary into doing that,tom pushed mary into doing that,tom empujó a mary a hacer eso,tom a poussé mary à faire ça,Tom hat Mary dazu gedrängt
16,tom put his bag under the table,tom put his bag under the table,tom puso su bolso debajo de la mesa,tom a mis son sac sous la table,Tom stellte seine Tasche unter den Tisch
17,tom put his money in a shoe box,tom put his money in a shoe box,tom puso su dinero en una caja de zapatos,Tom a mis son argent dans une boîte à chaussures,Tom hat sein Geld in einen Schuhkarton gesteckt
18,tom put his wallet on the table,tom put his wallet on the table,tom puso su billetera sobre la mesa,tom posa son portefeuille sur la table,Tom legte seine Brieftasche auf den Tisch
19,tom put on one of john's shirts,tom put on one of john s shirts,tom se puso una de las camisetas de john,tom a mis une des chemises de john,Tom zog eines von Johns Hemden an
20,tom really wants to lose weight,tom really wants to lose weight,tom realmente quiere perder peso,Tom veut vraiment perdre du poids,tom will unbedingt abnehmen
21,tom refused to tell us anything,tom refused to tell us anything,tom se negó a decirnos nada,Tom a refusé de nous dire quoi que ce soit,"Tom weigerte sich, uns etwas zu sagen"
22,tom said mary wanted to do that,tom said mary wanted to do that,Tom dijo que Mary quería hacer eso.,tom a dit que mary voulait faire ça,"Tom sagte, Mary wollte das tun"
23,tom said he didn't drink coffee,tom said he did not drink coffee,tom dijo que no bebia cafe,Tom a dit qu'il ne buvait pas de café,"Tom sagte, er trinke keinen Kaffee"
24,tom said that mary was reliable,tom said that mary was reliable,tom dijo que mary era confiable,tom a dit que mary était fiable,"Tom sagte, Mary sei zuverlässig"
25,tom said that he wouldn't do it,tom said that he wouldn t do it,tom dijo que no lo haría,Tom a dit qu'il ne le ferait pas,"Tom sagte, er würde es nicht tun"
26,tom said that he'd pay the bill,tom said that he would pay the bill,tom dijo que pagaría la cuenta,Tom a dit qu'il paierait la facture,"Tom sagte, dass er die Rechnung bezahlen würde"
27,tom said you were good at chess,tom said you were good at chess,tom dijo que eras bueno en el ajedrez,tom a dit que tu étais bon aux échecs,"Tom sagte, du wärst gut im Schach"
28,tom saw something on the ground,tom saw something on the ground,tom vio algo en el suelo,tom a vu quelque chose par terre,Tom sah etwas auf dem Boden
29,tom says he has nothing to hide,tom says he has nothing to hide,tom dice que no tiene nada que ocultar,Tom dit qu'il n'a rien à cacher,"Tom sagt, er hat nichts zu verbergen"
30,tom says he's never owned a car,tom says he is never owned a car,tom dice que nunca ha tenido un coche,Tom dit qu'il n'a jamais possédé de voiture,"Tom sagt, er hat nie ein Auto besessen"
31,tom says that he hates to study,tom says that he hates to study,tom dice que odia estudiar,tom dit qu'il déteste étudier,"Tom sagt, dass er es hasst zu lernen"
32,tom says that he likes the idea,tom says that he likes the idea,tom dice que le gusta la idea,tom dit qu'il aime l'idée,"Tom sagt, dass ihm die Idee gefällt"
33,tom says that he's seen a ghost,tom says that he is seen a ghost,tom dice que se ve un fantasma,Tom dit qu'il est vu comme un fantôme,"Tom sagt, dass er als Geist gesehen wird"
34,tom sells postcards to tourists,tom sells postcards to tourists,tom vende postales a los turistas,tom vend des cartes postales aux touristes,Tom verkauft Postkarten an Touristen
35,tom sent a text message to mary,tom sent a text message to mary,tom envió un mensaje de texto a mary,tom a envoyé un texto à marie,Tom hat Maria eine SMS geschickt
36,tom shares his office with mary,tom shares his office with mary,tom comparte su oficina con mary,tom partage son bureau avec mary,Tom teilt sein Büro mit Mary
37,tom should be back here by 2:30,tom should be back here by 2 30,tom debería estar de vuelta aquí a las 2:30,tom devrait être de retour ici à 14 h 30,Tom sollte um 2 30 hier zurück sein
